scan_case,clean_label,noise_case,delta_nu_Hz,white_noise_var,sigma_frac,n_tod,n_pix_solved,hit_cut,method,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual,n_iter,converged
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",none,,0.0,0.0,720,461,1.8416962735103767e-05,equivalent_diagonal_GLS,461,2894.2724899530926,-2548.69556272216,1371.4824733330165,0.12223197960221982,2164.0501046138866,4727.096751785403,,
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",none,,0.0,0.0,720,461,1.8416962735103767e-05,hydra_lite_IRLS,461,2894.2724899530926,-2548.69556272216,1371.4824733330165,0.12223197960221982,2164.0501046138866,4727.096751785403,0.0,True
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,461,1.8416962735103767e-05,equivalent_diagonal_GLS,461,2139.8132861605263,-1249.6966315286827,1736.9684017779296,0.21770109306401045,1371.6173799585874,4021.581911939221,,
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,461,1.8416962735103767e-05,hydra_lite_IRLS,461,2139.6719550934263,-1249.5657789225306,1736.888436129118,0.21790538172567578,1372.109621218128,4020.2254399339067,4.0,True
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,720,461,1.8416962735103767e-05,equivalent_diagonal_GLS,461,2094.8708849237023,-1234.2693604925857,1692.6497482498378,0.2784053356948114,1362.1288827008923,4226.151290067165,,
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,720,461,1.8416962735103767e-05,hydra_lite_IRLS,461,2094.8755903959645,-1234.2594445763132,1692.662802424337,0.2784122481044841,1361.949943490645,4226.555913919467,3.0,True
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,461,1.8416962735103767e-05,equivalent_diagonal_GLS,461,2035.1529584128107,-1203.1046234264,1641.4587503883356,0.3404810938471783,1338.8977612041365,4293.398654288694,,
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,461,1.8416962735103767e-05,hydra_lite_IRLS,461,2035.164978416315,-1203.1064786123482,1641.4722935502975,0.34046606964033194,1338.8698953679334,4293.414442151883,3.0,True
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,461,1.8416962735103767e-05,equivalent_diagonal_GLS,461,1831.2722825466496,-1070.3883310582298,1485.8758338293258,0.4413522905578003,1148.2431960337262,3789.05270824971,,
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,461,1.8416962735103767e-05,hydra_lite_IRLS,461,1831.2807280376046,-1070.3840430114258,1485.8893314606087,0.4413367091642545,1148.0006054010469,3789.107160203869,3.0,True
