scan_case,clean_label,noise_case,method,n_common_pix,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_1MHz,equivalent_diagonal_GLS,325,325,1405.2557667846197,-635.7636275662571,1253.2152169301262,0.4958708700497755,876.2976772259485,2955.7342070962886
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_1MHz,hydra_lite_IRLS,325,325,1405.2564567275333,-635.7597321277515,1253.2179667477126,0.49586445351970715,876.2103889952882,2955.697318542619
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",none,equivalent_diagonal_GLS,325,325,2773.9582563435406,-2564.6275226672656,1057.1329518627538,0.20057723409142747,2283.7842826833994,4590.300369296368
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",none,hydra_lite_IRLS,325,325,2773.9582563435406,-2564.6275226672656,1057.1329518627538,0.20057723409142747,2283.7842826833994,4590.300369296368
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",raw_10MHz_over_8192,equivalent_diagonal_GLS,325,325,1321.6532173254072,-438.05637443300697,1246.9458046303412,0.3840175544746702,650.3787334263329,2517.1078888585903
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",raw_10MHz_over_8192,hydra_lite_IRLS,325,325,1322.4814411302361,-437.26704947088865,1248.1004324896815,0.384435901052622,650.8083305619798,2525.0730087274474
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_10kHz,equivalent_diagonal_GLS,325,325,903.4655746390237,-151.73732376827806,890.6322636944284,0.6206522259318015,366.80574488856746,1842.0537815552184
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_10kHz,hydra_lite_IRLS,325,325,903.9460415058059,-152.24680676532805,891.0327467516425,0.620534141445315,364.60545095207476,1844.9192979607988
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_100kHz,equivalent_diagonal_GLS,325,325,569.7266151802986,113.81138496116697,558.2431232877134,0.8504446775333899,425.3390646948815,974.0083387503577
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_100kHz,hydra_lite_IRLS,325,325,569.690666798354,113.81406452874162,558.2058890343244,0.8504664145305527,424.96561261231227,974.4616323644282
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_1MHz,equivalent_diagonal_GLS,325,325,389.14624679949833,141.82981038496854,362.37978183709413,0.939819285754026,251.25370482869175,769.0815813151407
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_1MHz,hydra_lite_IRLS,325,325,389.16368827289426,141.83472749810892,362.3965871054798,0.9398134358266905,251.38691980497515,769.2849895049126
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",none,equivalent_diagonal_GLS,325,325,2742.744452952538,-2532.685238027318,1052.6882821046438,0.20137165163901688,2245.8934378632525,4564.425219014202
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",none,hydra_lite_IRLS,325,325,2742.744452952538,-2532.685238027318,1052.6882821046438,0.20137165163901688,2245.8934378632525,4564.425219014202
