label,scan_case,clean_case,select_threshold,boundary_layer,n_pix,rmse,median_abs_residual,p95_abs_residual,median_unc
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,4,36,270.8744011248515,154.36355555476644,529.7799057789746,28.418275941466206
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,5,20,264.48893811046116,166.4895261317704,535.4209886596977,30.184426661897227
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,6,4,409.93813277071774,360.57578167337306,593.9709895933264,28.000135756432243
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,0,64,2255.027463727072,1502.327031399431,4356.613380138247,78.69802129026723
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,1,64,683.7636903339903,379.82090396573506,1441.0949637476187,48.35240527191442
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,2,64,412.21515336650776,291.7207104949755,798.0468484142344,40.43778144248307
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,3,60,302.0920863013691,179.70573652120174,531.8133569283476,32.55814691211614
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,4,44,322.1370783348354,209.79020158396872,687.4403696023234,30.231930550844694
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,5,28,248.91199015154547,149.51291091117992,509.0413626859096,30.15417557173693
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,6,12,326.83136058016686,218.94739795242572,563.4263566421226,28.83419955792307
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,0,64,2901.353391245776,1972.1825461318758,6108.718015799201,92.930451392813
