label,scan_case,clean_case,select_threshold,region,n_pix,rmse,corr,median_abs_residual,p95_abs_residual,median_unc,p95_unc,median_weighted_hit
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,interior,240,305.92938727496744,0.9497170742552911,172.76141455041477,622.9952730640053,9.590521082239714,13.329823935320508,74.5936082514128
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,edge,64,1343.3483274757373,0.6878286428958462,941.9261513331865,2712.236781503827,35.80743304134772,46.722295002509554,4.193740697524577
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,interior,272,340.7348250997239,0.932712414580473,185.81767337424537,685.3949594832686,9.70659072682895,16.84886963864745,63.48850884739701
G_same_LST_12days_fast_hourly_stacked__threshold_0.03,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.03,edge,64,2222.8649847865177,0.5722373221967866,1577.7034018480686,4716.51931704764,59.065004601966805,72.2586166156743,2.333119629753355
G_same_LST_12days_fast_hourly_stacked__threshold_0.03,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.03,interior,304,475.7097702706045,0.8743412873774231,194.65950757015844,922.049695266194,11.716909843793452,25.51018583478904,50.57583102429972
G_same_LST_12days_fast_hourly_stacked__threshold_0.02,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.02,edge,64,2222.8649847865177,0.5722373221967866,1577.7034018480686,4716.51931704764,59.065004601966805,72.2586166156743,2.333119629753355
G_same_LST_12days_fast_hourly_stacked__threshold_0.02,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.02,interior,304,475.7097702706045,0.8743412873774231,194.65950757015844,922.049695266194,11.716909843793452,25.51018583478904,50.57583102429972
G_same_LST_12days_fast_hourly_stacked__threshold_0.01,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.01,edge,147,3427.468372525298,0.10586134106182578,1907.1890814709973,7533.30274466495,99.44820848609429,99.94060824582425,0.003050335254825387
G_same_LST_12days_fast_hourly_stacked__threshold_0.01,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.01,interior,507,2117.7753102869574,0.18115358851255983,448.02103895854634,4942.855100265565,16.88619619962791,93.42381530210372,10.393023110203291
G_same_LST_12days_fast_hourly_stacked__threshold_0.005,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.005,edge,0,,,,,,,
G_same_LST_12days_fast_hourly_stacked__threshold_0.005,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.005,interior,768,2473.3346223062254,0.13676842468043682,993.7422276245675,5257.677745758743,76.45765529218815,100.0,0.5240221001141567
