label,scan_case,clean_case,select_threshold,n_tod,n_pix_solved,condition_number,rank,weighted_hit_min,weighted_hit_median,weighted_hit_p95,n_pix_all_metric,rmse_all,bias_all,std_all,corr_all,median_abs_residual_all,p95_abs_residual_all,n_pix_hit_metric,rmse_hit,bias_hit,std_hit,corr_hit,median_abs_residual_hit,p95_abs_residual_hit,dec_min,dec_p05,dec_median,dec_p95,dec_max
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,1440,584,10308.703691338891,584,0.0003440066886667471,0.45040926072327736,9.229499557151053,584,2561.586891024787,-1450.7581311892793,2111.167507579212,0.0717259530402163,1238.750781842692,5648.328639684072,240,372.8091118561432,74.552443897935,365.2787524505245,0.9259813508622854,217.73155845452493,712.4117835667078,-66.44353569089876,-60.4344388449523,14.477512185929925,66.44353569089877,84.14973293629666
C_fast_rotation_24h_one_turn_per_hour__threshold_0.005,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.005,1440,768,inf,584,0.0,0.04504618502150168,9.187832934393112,584,2561.586891024787,-1450.7581311892795,2111.167507579212,0.07172595304021627,1238.750781842692,5648.328639684072,240,372.8091118561438,74.55244389793465,365.2787524505251,0.9259813508622851,217.7315584545256,712.4117835667151,-84.14973293629666,-66.44353569089876,0.0,66.44353569089877,84.14973293629666
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,17280,304,293.01627361738764,304,5.3406887171561666,50.696481995648284,114.59536653838398,304,657.78508959958,-10.818659189569368,657.6961157805841,0.7746811787028325,311.47834218281844,1224.8173216410207,304,657.78508959958,-10.818659189569368,657.6961157805841,0.7746811787028325,311.47834218281844,1224.8173216410207,14.477512185929925,14.477512185929925,35.68533471265204,72.38756092964962,84.14973293629666
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,17280,336,708.7865497801395,336,2.9322294098189032,50.65703867828228,114.59112230714534,336,803.6518539860798,-136.46136881155948,791.9814374323042,0.7259597247292561,334.10634051680245,1838.4578056665603,336,803.6518539860798,-136.46136881155948,791.9814374323042,0.7259597247292561,334.10634051680245,1838.4578056665603,9.594068226860458,9.594068226860458,35.68533471265204,72.38756092964962,84.14973293629666
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,17280,368,1295.132624150575,368,1.8038193357234285,32.68179681166215,114.58647479178434,368,1114.6614273695577,-283.230754865368,1078.0771944364344,0.5901302516853714,359.5480373066539,2349.8223095493213,368,1114.6614273695577,-283.230754865368,1078.0771944364344,0.5901302516853714,359.5480373066539,2349.8223095493213,4.780191847199163,4.780191847199163,30.000000000000007,72.38756092964962,84.14973293629666
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,17280,368,1295.132624150575,368,1.8038193357234285,32.68179681166215,114.58647479178434,368,1114.6614273695577,-283.230754865368,1078.0771944364344,0.5901302516853714,359.5480373066539,2349.8223095493213,368,1114.6614273695577,-283.230754865368,1078.0771944364344,0.5901302516853714,359.5480373066539,2349.8223095493213,4.780191847199163,4.780191847199163,30.000000000000007,72.38756092964962,84.14973293629666
E_same_LST_12days_30deg_step_stacked__threshold_0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.01,17280,588,19786.61129145738,588,0.0006760126990061317,5.3484503378785035,110.30049763328903,588,2386.003432639459,-1189.4449373740383,2068.389016003168,0.14742635998071568,727.2472582852919,5179.960395629523,368,1121.404404970606,-299.66251732439827,1080.6249188308975,0.5793278012077229,368.12448169243294,2385.2370556370306,-78.28414760510762,-60.4344388449523,14.477512185929925,66.44353569089877,84.14973293629666
E_same_LST_12days_30deg_step_stacked__threshold_0.005,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.005,17280,768,inf,588,0.0,0.5081205726694596,109.94380762568566,588,2386.0034326394593,-1189.444937374038,2068.3890160031683,0.14742635998071565,727.2472582852924,5179.960395629523,368,1121.4044049706063,-299.6625173243981,1080.6249188308977,0.5793278012077225,368.1244816924361,2385.237055637031,-84.14973293629666,-66.44353569089876,0.0,66.44353569089877,84.14973293629666
G_same_LST_12days_fast_hourly_stacked__threshold_0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.1,17280,304,274.82385960404815,304,5.405544196513146,50.57583102429972,113.06492770013622,304,492.2661455869302,10.80833673001717,492.1474758120205,0.8656893635676124,214.31453216608668,890.1291772668899,304,492.2661455869302,10.80833673001717,492.1474758120205,0.8656893635676124,214.31453216608668,890.1291772668899,14.477512185929925,14.477512185929925,35.68533471265204,72.38756092964962,84.14973293629666
G_same_LST_12days_fast_hourly_stacked__threshold_0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.05,17280,336,596.5755223109087,336,2.919034889895254,50.51291704640637,113.06294315021086,336,661.6013284281235,-113.81502126771726,651.7380292047463,0.8011179465826544,217.6534898052263,1559.3734101471348,336,661.6013284281235,-113.81502126771726,651.7380292047463,0.8011179465826544,217.6534898052263,1559.3734101471348,9.594068226860458,9.594068226860458,35.68533471265204,72.38756092964962,84.14973293629666
G_same_LST_12days_fast_hourly_stacked__threshold_0.03,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.03,17280,368,1150.0225907172915,368,1.6959584394086462,32.66380911800755,113.06119475897115,368,1022.8734225624693,-286.16498463120206,982.02832960953,0.6328429914916776,244.83860858729645,1929.878217481403,368,1022.8734225624693,-286.16498463120206,982.02832960953,0.6328429914916776,244.83860858729645,1929.878217481403,4.780191847199163,4.780191847199163,30.000000000000007,72.38756092964962,84.14973293629666
G_same_LST_12days_fast_hourly_stacked__threshold_0.02,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.02,17280,368,1150.0225907172915,368,1.6959584394086462,32.66380911800755,113.06119475897115,368,1022.8734225624693,-286.16498463120206,982.02832960953,0.6328429914916776,244.83860858729645,1929.878217481403,368,1022.8734225624693,-286.16498463120206,982.02832960953,0.6328429914916776,244.83860858729645,1929.878217481403,4.780191847199163,4.780191847199163,30.000000000000007,72.38756092964962,84.14973293629666
G_same_LST_12days_fast_hourly_stacked__threshold_0.01,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.01,17280,654,26970.14746660227,654,0.00034151012332272367,2.9269209838741577,110.48802899577957,654,2473.3346223062254,-1350.7356700822015,2071.9308153184706,0.1367684246804371,993.7422276245674,5257.677745758743,368,1026.4802274699468,-293.29678731997194,983.6862568596437,0.6266228455517941,254.87155630841505,1929.8862307029901,-78.28414760510762,-66.44353569089876,9.594068226860458,66.44353569089877,84.14973293629666
G_same_LST_12days_fast_hourly_stacked__threshold_0.005,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",0.005,17280,768,inf,654,0.0,0.5240221001141567,110.38489074915051,654,2473.3346223062254,-1350.7356700822006,2071.9308153184716,0.13676842468043682,993.7422276245675,5257.677745758743,368,1026.4802274699475,-293.2967873199705,983.6862568596449,0.6266228455517934,254.87155630841482,1929.8862307029906,-84.14973293629666,-66.44353569089876,0.0,66.44353569089877,84.14973293629666
