noise_case,scan_case,clean_label,method,n_common_pix,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual
bandavg_100kHz,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",hydra_lite_IRLS,208,208,706.7802469627393,78.47409236987065,702.4102322172106,0.7452509561871623,500.6195239637742,1304.9795333289694
bandavg_100kHz,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",limTOD_equiv_variance,208,208,43544.479168343874,39790.54803542415,17687.112627077884,0.676583680186373,37238.36142209113,70005.13905189386
bandavg_100kHz,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",hydra_lite_IRLS,208,208,1475.4771040787152,10.37419375603071,1475.4406327482054,0.4946476732318817,939.3900760376196,2846.688951394546
bandavg_100kHz,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",limTOD_equiv_variance,208,208,43818.988541799925,40696.174243243,16245.773566992693,0.7376174514647349,40801.99040841438,68814.34964137693
bandavg_100kHz,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",hydra_lite_IRLS,208,208,1644.3451744840468,-17.77606970000323,1644.2490882451452,0.45282293030557014,1001.5945669845494,3082.5758471194363
bandavg_100kHz,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",limTOD_equiv_variance,208,208,43810.97266865346,40719.63259886592,16165.173899060797,0.740317132660056,41422.12306496322,68387.92203493167
bandavg_1MHz,A_no_rotation_24h,"No rotation, 24 h",hydra_lite_IRLS,208,208,804.0118133236189,-43.04268797181577,802.858843742843,0.6979956712165793,521.3863948261335,1747.0589487536033
bandavg_1MHz,A_no_rotation_24h,"No rotation, 24 h",limTOD_equiv_variance,208,208,45099.32140132624,41058.98706279956,18657.662560915316,0.6983844086810039,39088.59099734976,75676.07396242852
bandavg_1MHz,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",hydra_lite_IRLS,208,208,1565.6821844518965,-7.568329769217712,1565.6638921219865,0.4677990543756441,1000.8099932753489,2924.403062674426
bandavg_1MHz,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",limTOD_equiv_variance,208,208,43866.72253397638,40656.51308110813,16472.31890046314,0.72432344267269,40088.0952922228,67938.40078105882
